latitude,longitude
33.642963,-117.836463
33.643673,-117.837212
33.642187,-117.837236
33.642090,-117.837135
33.642021,-117.836777
33.641575,-117.836304
33.641073,-117.836197
33.640947,-117.836080
33.640863,-117.835916
33.640745,-117.835532
33.640608,-117.835352
33.640457,-117.835540
33.640305,-117.835556
33.640108,-117.835558
33.640080,-117.835830
33.640080,-117.835830
33.640080,-117.835830
33.640520,-117.836050
33.640520,-117.836050
33.640520,-117.836050
33.641204,-117.835721
33.641156,-117.835499
33.640986,-117.835165
33.640867,-117.835023
33.640770,-117.834864
33.640665,-117.834723
33.640480,-117.834396
33.640116,-117.834499
33.640185,-117.834678
33.640278,-117.834854
33.640403,-117.835019
33.640261,-117.835098
33.639994,-117.834970
33.639941,-117.834788
33.639814,-117.834447
33.640004,-117.834309
33.639685,-117.834138
33.639612,-117.833967
33.639514,-117.833806
33.639432,-117.833664
33.639619,-117.833480
33.639717,-117.833649
33.639814,-117.833805
33.639248,-117.834097
33.639133,-117.834423
33.639255,-117.834745
33.639282,-117.834903
33.639569,-117.834939
33.639627,-117.835100
33.639737,-117.835276
33.639561,-117.835423
33.639369,-117.835266
33.638929,-117.835106
33.638855,-117.834723
33.639466,-117.834600
33.638157,-117.837059
33.638049,-117.837329
33.638377,-117.837462
33.638444,-117.837326
33.638332,-117.837612
33.638289,-117.837748
33.638219,-117.837875
33.638014,-117.838066
33.638203,-117.838512
33.638314,-117.838416
33.638433,-117.838356
33.638498,-117.838238
33.638661,-117.837833
33.638766,-117.837570
33.639119,-117.838095
33.639063,-117.838251
33.639012,-117.838410
33.638963,-117.838570
33.638888,-117.838751
33.639194,-117.839064
33.639357,-117.838788
33.639404,-117.838633
33.639500,-117.838304
33.639789,-117.838579
33.640108,-117.838364
33.640186,-117.838554
33.640245,-117.839083
33.640109,-117.839418
33.639924,-117.839459
33.639752,-117.839396
33.639669,-117.839159
33.639649,-117.839873
33.639800,-117.840023
33.639777,-117.840435
33.639791,-117.841042
33.639677,-117.841166
33.639584,-117.841296
33.639534,-117.841356
33.639534,-117.841356
33.639325,-117.841654
33.639451,-117.842043
33.639575,-117.842395
33.639677,-117.842375
33.639842,-117.841746
33.639905,-117.841701
33.639975,-117.841670
33.640275,-117.841219
33.640339,-117.841240
33.640209,-117.841156
33.640420,-117.841909
33.640451,-117.842004
33.640479,-117.842079
33.640432,-117.842350
33.639666,-117.843406
33.639555,-117.843286
33.639441,-117.843168
33.639379,-117.843032
33.639162,-117.842638
33.639090,-117.842502
33.639010,-117.842341
33.638938,-117.842185
33.638693,-117.841907
33.638505,-117.841896
33.638594,-117.842428
33.638775,-117.842898
33.638202,-117.842969
33.638205,-117.843139
33.638348,-117.843660
33.638157,-117.843701
33.638562,-117.843668
33.638630,-117.844072
33.639214,-117.843638
33.639133,-117.843506
33.638110,-117.842592
33.638010,-117.842423
33.637872,-117.842354
33.637546,-117.842970
33.637711,-117.843070
33.637343,-117.842985
33.636942,-117.842824
33.636937,-117.842641
33.636909,-117.842437
33.636862,-117.842304
33.636773,-117.842153
33.636717,-117.842015
33.636560,-117.841926
33.636431,-117.842275
33.636458,-117.842420
33.636522,-117.842553
33.636563,-117.842683
33.636319,-117.842609
33.636196,-117.842554
33.635773,-117.842220
33.635515,-117.841862
33.635575,-117.841686
33.635200,-117.841500
33.635134,-117.841668
33.635082,-117.841831
33.634774,-117.841589
33.634811,-117.841419
33.634868,-117.841251
33.634945,-117.841089
33.635204,-117.840837
33.635174,-117.840659
33.635299,-117.840373
33.635048,-117.840253
33.634736,-117.840604
33.634661,-117.840814
33.634468,-117.841268
33.635638,-117.840823
33.635683,-117.840663
33.635755,-117.840366
33.635779,-117.840210
33.635420,-117.839973
33.636301,-117.841181
33.636405,-117.841226
33.636465,-117.841226
33.636547,-117.841026
33.636840,-117.841368
33.637017,-117.841442
33.637199,-117.841335
33.637222,-117.841091
33.637562,-117.841339
33.639050,-117.839806
33.639056,-117.839698
33.639031,-117.839534
33.638972,-117.839477
33.638909,-117.839406
33.638286,-117.839040
33.637323,-117.838711
33.637096,-117.838402
33.637047,-117.838387
33.636993,-117.838318
33.636890,-117.838097
33.636852,-117.838066
33.636707,-117.837898
33.636654,-117.837875
33.636604,-117.837868
33.636475,-117.838058
33.636414,-117.838081
33.637257,-117.837583
33.637389,-117.837321
33.637596,-117.837129
33.637719,-117.837027
33.637797,-117.836892
33.640793,-117.838864
33.640750,-117.839017
33.640772,-117.839204
33.640754,-117.839373
33.640754,-117.839547
33.640741,-117.839753
33.640606,-117.839867
33.640452,-117.839867
33.640306,-117.839803
33.641112,-117.840093
33.641245,-117.840099
33.641542,-117.839615
33.641538,-117.839424
33.641556,-117.839264
33.641534,-117.839069
33.641259,-117.838827
33.641095,-117.838799
33.641105,-117.838961
33.641135,-117.839338
33.641842,-117.839470
33.641907,-117.839508
33.641930,-117.839516
33.641968,-117.839706
33.642025,-117.839691
33.642162,-117.839531
33.642269,-117.839447
33.642307,-117.839455
33.642338,-117.839439
33.642380,-117.839439
33.642410,-117.839447
33.642150,-117.839284
33.642113,-117.839299
33.642113,-117.839299
33.642113,-117.839299
33.642323,-117.839066
33.642292,-117.839020
33.642262,-117.838959
33.642357,-117.838936
33.642204,-117.838692
33.642178,-117.838646
33.642151,-117.838593
33.642208,-117.838478
33.642115,-117.838044
33.642081,-117.837962
33.642051,-117.837776
33.641809,-117.838190
33.641667,-117.838216
33.641443,-117.838528
33.642963,-117.836463
